feast_code,LFRI_name
14011410,Felicis Nolani
14011430,Nominis Jesu
14011510,Mauri
14011600,"Marcelli, Pont."
14011630,Sanctorum Quinque Martyrum Ordinis Minorum
14011700,Antonii
14011720,Speusippi
14011800,Priscae
14011900,"Marii, Marthae, Audifacis et Abaci"
14012000,"Fabiani, Sebastiani"
14012100,Agnetis
14012200,Vincentii
14012210,Anastasii
14012230,"Vincentii, Orontii, Victoris"
14012300,Emerentianae
14012301,Ildefonsi
14012400,Timothei
14012500,"Pauli, conversio"
14012600,Polycarpi
14012610,Paulae
14012700,Joannis Chrysostomi
14012710,"Juliani, episcopi"
14012800,"Agnetis, oct."
14012830,Joannis Reomensis
14012930,Francisci Salesii
14020110,Ignatii
14020200,Purificatio Mariae [Presentationis Domini]
14020300,Blasii
14020308,"Blasii, infra oct."
14020500,Agathae
14020508,"Agathae, infra oct."
14020900,Apolloniae
14021000,Scholasticae
14021010,"Blasii, oct."
14021200,Humbelinae
14021320,"Bartholomaei, transl."
14021400,Valentini
14022200,Cathedra Petri
14022210,Margaritae Cortonensis
14022400,Matthiae
14030700,Thomae de Aquino
14030710,"Perpetuae, Felicitatis"
14030900,Quadraginta Martyrum
14030920,Catharinae Bononiensis
14031200,Gregorii
14031800,Gabrielis
14031900,Josephi
14032010,Joachimi
14032020,Martini Archiepiscopi Bracharensis
14032100,Benedicti
14032108,"Benedicti, infra oct."
14032500,Annuntiatio Mariae
14032501,"Annuntiatio Mariae, infra oct."
14032508,"Annuntiatio Mariae, dom. infra oct."
14032580,"Annuntiatio Mariae, TP"
14040220,Francisci de Paola
14040400,Ambrosii
14040480,Ambrosii TP
14040910,Hugonis
14041210,Victoris Bracharensis
14041300,Hermenegildi
14041400,"Tiburtii, Valeriani, Maximi"
14041410,Petri Gundisalvi
14041610,Fructuosi Archiepiscopi Bracharensis
14041700,Potentianae
14041710,"Stephani, abbatis"
14042300,Georgii
14042310,Adalberti
14042500,Marci
14042610,Petri de Rates
14042700,Franchae
14042800,Vitalis et Valeriae
14042900,"Petri, Mart."
14042910,Roberti
14042920,Catharinae Senensis
14050100,"Philippi, Jacobi"
14050200,Athanasii
14050230,Mafaldae Reginae
14050300,Inventio Crucis
14050310,Alexandri et sociorum
14050440,Monicae
14050450,"Vincentii, transl. in Brachara"
14050510,"Augustini, conv."
14050600,Joannis Port. Lat.
14050800,"Michaelis, Appar."
14051000,"Gordiani, Epimachi"
14051010,"Antonini, episcopi"
14051210,Pancratii et sociorum
14051240,"Nerei, Achillei"
14051310,In dedicatione S. Mariae
14051320,In dedicatione Basilicae BMV de Martyribus Ulyssipponensis
14051330,Petri Regalati
14051710,"Bernardini Senensis, transl."
14051720,Paschalis Baylon
14051910,"Pudentianae, Pudentis"
14051930,Ivonis de Kermartin
14052010,Bernardini Senensis
14052510,Urbani
14052520,Tres Mariae
14052530,"Francisci, transl."
14052620,Philippi Neri
14053110,Petronillae
14060110,Caprasii
14060200,Marcellini et Petri
14060400,Francisci Carracciolo
14060900,"Primi, Feliciani"
14061100,Barnabae
14061200,Basilidis et soc.
14061300,Antonii Patavini
14061410,Elisei
14061600,Quirici (Cyrici) et Julittae
14061620,Lutgardae
14061800,"Marci, Marcellini"
14061900,"Gervasii, Protasii"
14062120,Aloisii Gonzagae
14062240,Decem Millium Martyrum
14062300,"Joannis Baptistae, vig."
14062400,Joannis Baptistae
14062408,"Joannis Baptistae, infra oct."
14062600,"Joannis, Pauli"
14062800,Leonis
14062810,"Petri et Pauli, vig."
14062900,Petri et Pauli
14062901,"Petri et Pauli, dom. infra oct."
14062908,"Petri et Pauli, infra oct."
14062910,Petri
14063000,Pauli
14063008,"Pauli, infra oct."
14063010,Martialis
14070100,"Joannis Baptistae, oct."
14070110,Pretiosissimi Sanguinis
14070200,Visitatio Mariae
14070208,"Visitatio Mariae, infra oct."
14070210,"Processi, Martiniani"
14070400,"Martini, transl."
14070600,"Petri et Pauli, oct."
14070830,Elisabeth Reginae Portugalliae
14070900,"Visitatio Mariae, oct."
14071000,Septem Fratrum
14071100,"Benedicti, transl."
14071420,Bonaventurae
14071610,BMV de Monte Carmelo
14071720,Marinae
14071730,Justae et Rufinae
14071820,Camilli de Lellis
14072010,Margaritae
14072020,Eliae
14072100,Praxedis
14072110,Victoris et sociorum
14072200,Mariae Magdalenae
14072320,Apollinaris
14072500,Jacobi
14072508,"Jacobi, infra oct."
14072510,Christophori
14072610,Annae
14072800,"Nazarii, Celsi"
14072810,Samsonis
14072900,Felicis
14072920,Simplicii et sociorum
14072930,Marthae
14073000,"Abdonis, Sennis"
14073100,Germani
14080100,Vincula Petri
